house_type_id,bedroom_count,bathroom_count,rent_amount,publisher_identity,rent_duration,identity,City_geo,State_geo,Postcode_geo,geometry,year
Townhouse,3.0,3.0,800.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.3018907 47.7058084),2018
Townhouse,3.0,3.0,1000.0,0,5.8267148014440435,0.0,Seattle,Washington,98133,POINT (-122.3464421 47.7024452),2020
Apartment,1.0,1.0,1576.0,0,5.8267148014440435,0.0,Philadelphia,Pennsylvania,19104-2989,POINT (-75.18345961999999 39.95272857),2018
Apartment,2.0,1.0,1200.0,0,5.8267148014440435,0.0,Seattle,Washington,98109,POINT (-122.34287055 47.63814712),2019
Townhouse,1.0,1.0,950.0,0,5.8267148014440435,0.0,Seattle,Washington,98117,POINT (-122.37655785 47.69226585),2019
Apartment,1.0,1.0,1000.0,0,5.8267148014440435,0.0,New York,New York,10027,POINT (-73.94230908999999 40.80524032),2018
Apartment,1.0,1.0,2500.0,0,5.8267148014440435,0.0,New York,New York,11109,POINT (-73.9575059 40.7449592),2018
House,4.0,2.5,900.0,0,5.8267148014440435,0.0,Seattle,Washington,98107,POINT (-122.39159816 47.67374415),2018
House,1.0,1.0,750.0,0,5.8267148014440435,0.0,Bellevue,Washington,98008,POINT (-122.1187552 47.6185614),2019
Townhouse,4.0,3.5,800.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.29110278 47.73213955),2018
Apartment,2.0,1.5,850.0,0,5.8267148014440435,0.0,Brookline,Massachusetts,02446,POINT (-71.117133 42.3478368),2018
Apartment,1.0,1.0,1300.0,0,5.8267148014440435,0.0,Brookline,Massachusetts,02446,POINT (-71.11729656999999 42.34781229),2018
Townhouse,1.0,1.0,1090.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.3171331 47.71726996),2020
House,1.0,1.0,700.0,0,5.8267148014440435,0.0,Lynnwood,Washington,98037,POINT (-122.28320718 47.84753328),2018
Apartment,3.0,2.0,800.0,0,5.8267148014440435,0.0,Newcastle,Washington,98056-1330,POINT (-122.16240107 47.53918671),2018
Apartment,0.0,1.0,2200.0,0,5.8267148014440435,0.0,Seattle,Washington,98101,POINT (-122.3355433 47.6160573),2018
House,1.0,1.0,1100.0,0,5.8267148014440435,0.0,Bellevue,Washington,98006,POINT (-122.18903131 47.55277504),2020
Apartment,3.0,2.0,1500.0,0,5.8267148014440435,0.0,West Lafayette,Indiana,47906,POINT (-86.94072309000001 40.46114253),2018
Apartment,1.0,1.0,895.0,0,5.8267148014440435,0.0,Davis,California,95618,POINT (-121.7278606 38.5503834),2018
Townhouse,3.0,1.5,2100.0,0,5.8267148014440435,0.0,Davis,California,95616,POINT (-121.76159027 38.56030588),2018
Apartment,2.0,2.0,1600.0,0,5.8267148014440435,0.0,New York,New York,11249,POINT (-73.96491260000001 40.7197731),2018
House,5.0,2.0,750.0,0,5.8267148014440435,0.0,Seattle,Washington,98105,POINT (-122.30636035 47.66329722),2018
Apartment,2.0,2.0,800.0,0,5.8267148014440435,0.0,Boston,Massachusetts,02135,POINT (-71.14151096000001 42.34711485),2018
House,6.0,3.0,700.0,0,5.8267148014440435,0.0,Seattle ,Washington,98092,POINT (-122.1884315 47.32684),2019
House,1.0,1.0,800.0,0,5.8267148014440435,0.0,Kirkland,Washington,98033,POINT (-122.17769553 47.69570112),2018
Townhouse,3.0,1.5,3100.0,0,5.8267148014440435,0.0,Seattle,Washington,98122,POINT (-122.309335 47.603938),2018
Apartment,2.0,2.0,2635.0,0,5.8267148014440435,0.0,Seattle,Washington,98104,POINT (-122.3240423 47.6101617),2018
Townhouse,3.0,2.0,3100.0,0,5.8267148014440435,0.0,Seattle,Washington,98199,POINT (-122.38455989 47.65024342),2018
Apartment,2.0,2.0,1277.5,0,5.8267148014440435,0.0,New Haven,Connecticut,06510,POINT (-72.92323695 41.30921462),2018
Apartment,2.0,2.0,1277.5,0,5.8267148014440435,0.0,New Haven,Connecticut,06510,POINT (-72.92321032 41.30921262),2018
Apartment,1.0,1.0,1795.0,0,5.8267148014440435,0.0,Seattle,Washington,98101,POINT (-122.328129 47.612119),2018
Apartment,1.0,1.0,2300.0,0,5.8267148014440435,0.0,Berkeley,California,94709,POINT (-122.259537 37.876396),2018
Townhouse,2.0,1.0,900.0,0,5.8267148014440435,0.0,Seattle,Washington,98133,POINT (-122.34235912 47.7327893),2018
Townhouse,3.0,3.5,2400.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.30567845 47.73013294),2018
Townhouse,1.0,1.0,900.0,0,5.8267148014440435,0.0,Seattle,Washington,98107,POINT (-122.37915253 47.67468846),2019
Apartment,2.0,1.0,1773.0,0,5.8267148014440435,0.0,New York,New York,10019,POINT (-73.98978479 40.76649702),2018
Townhouse,1.0,1.0,1000.0,0,5.8267148014440435,0.0,Seattle,Washington,98125,POINT (-122.312187 47.716473),2018
Apartment,1.0,1.0,1000.0,0,5.8267148014440435,0.0,Seattle,Washington,98133,POINT (-122.3313105 47.705877),2018
Apartment,1.0,1.0,1000.0,0,5.8267148014440435,0.0,Redmond,Washington,98052-6800,POINT (-122.1360491 47.6719799),2018
House,1.0,1.0,1000.0,0,5.8267148014440435,0.0,Kirkland,Washington,98034-7114,POINT (-122.16415413 47.70271956),2018
Apartment,1.0,1.0,2000.0,0,5.8267148014440435,0.0,Seattle,Washington,98121,POINT (-122.3523542 47.6176391),2018
Apartment,1.0,1.0,1500.0,0,5.8267148014440435,0.0,Mountain View,California,94043,POINT (-122.09222842 37.41516605),2018
House,1.0,1.0,1200.0,0,5.8267148014440435,0.0,San Jose,California,95131,POINT (-121.877936 37.3967986),2018
Apartment,1.0,1.0,1800.0,0,5.8267148014440435,0.0,Seattle,Washington,98015,POINT (-122.3194787 47.6774915),2018
Apartment,1.0,1.0,1600.0,0,5.8267148014440435,0.0,Redmond,Washington,98052,POINT (-122.13068107 47.64644747),2018
